;city;state_name;bicycle percentage;pedestrian percentage;public_transit percentage;lat;lng;population;density;total percentage;bike and pedestrian percentage
0;Davis;California;23.2;0.0;0.0;38.5552;-121.7365;76524.0;2693.0;23.2;23.2
1;Berkeley;California;9.7;15.99;21.6;37.8723;-122.276;122324.0;4509.0;47.29;25.689999999999998
2;Boulder;Colorado;8.9;0.0;0.0;40.0249;-105.2523;126054.0;1573.0;8.9;8.9
3;Somerville;Massachusetts;7.4;0.0;0.0;42.3908;-71.1013;81360.0;7616.0;7.4;7.4
4;Cambridge;Massachusetts;7.4;25.76;28.6;42.3759;-71.1185;113630.0;6862.0;61.760000000000005;33.160000000000004
5;Palo Alto;California;7.3;0.0;0.0;37.3913;-122.1467;67178.0;1086.0;7.3;7.3
6;Portland;Oregon;7.2;5.47;12.1;45.5371;-122.65;2052796.0;1874.0;24.77;12.67
7;Eugene;Oregon;6.8;6.43;0.0;44.0563;-123.1173;267568.0;1476.0;13.23;13.23
8;Fort Collins;Colorado;6.2;0.0;0.0;40.5475;-105.0651;303184.0;1124.0;6.2;6.2
9;Santa Barbara;California;6.1;0.0;0.0;34.4285;-119.7202;204034.0;1823.0;6.1;6.1
10;Missoula;Montana;6.1;0.0;0.0;46.8685;-114.0095;90218.0;967.0;6.1;6.1
11;Bloomington;Indiana;5.5;0.0;0.0;39.1637;-86.5257;114959.0;1412.0;5.5;5.5
12;Madison;Wisconsin;5.3;10.99;9.3;43.0827;-89.3923;439553.0;1250.0;25.59;16.29
13;Flagstaff;Arizona;5.2;0.0;0.0;35.1872;-111.6195;78628.0;420.0;5.2;5.2
14;Ann Arbor;Michigan;5.0;16.52;11.2;42.2755;-83.7312;326288.0;1680.0;32.72;21.52
15;Chico;California;4.7;0.0;0.0;39.7575;-121.8152;106268.0;1076.0;4.7;4.7
16;Minneapolis;Minnesota;4.6;6.85;13.1;44.9635;-93.2678;2926757.0;3019.0;24.549999999999997;11.45
17;Iowa City;Iowa;4.6;0.0;0.0;41.6559;-91.5304;119091.0;1143.0;4.6;4.6
18;Gainesville;Florida;4.4;0.0;0.0;29.6804;-82.3458;199695.0;810.0;4.4;4.4
19;San Francisco;California;4.4;9.82;33.1;37.7562;-122.443;3603761.0;7286.0;47.32;14.22
20;Bellingham;Washington;4.2;0.0;0.0;48.7543;-122.4687;126015.0;1241.0;4.2;4.2
21;Mountain View;California;4.1;0.0;0.0;37.4;-122.0796;81438.0;2622.0;4.1;4.1
22;Washington;District of Columbia;3.9;12.27;37.4;38.9047;-77.0163;5289420.0;4382.0;53.56999999999999;16.169999999999998
23;Seattle;Washington;3.7;7.72;20.1;47.6211;-122.3244;3643765.0;3336.0;31.520000000000003;11.42
24;College Station;Texas;3.7;0.0;0.0;30.5852;-96.296;207308.0;858.0;3.7;3.7
25;Tempe;Arizona;3.7;0.0;0.0;33.3881;-111.9318;185038.0;1787.0;3.7;3.7
26;New Haven;Connecticut;0.0;14.0;13.3;41.3112;-72.9246;568144.0;2706.0;27.3;14.0
27;Columbia;South Carolina;0.0;13.78;0.0;34.0376;-80.9037;566166.0;377.0;13.78;13.78
28;Provo;Utah;0.0;13.39;0.0;40.2457;-111.6457;503695.0;1087.0;13.39;13.39
29;Boston;Massachusetts;0.0;13.36;33.7;42.3188;-71.0846;4637537.0;5472.0;47.06;13.36
30;Providence;Rhode Island;0.0;12.56;8.3;41.823;-71.4187;1206642.0;3783.0;20.86;12.56
31;New York;New York;0.0;10.72;56.5;40.6943;-73.9249;19354922.0;11083.0;67.22;10.72
32;Syracuse;New York;0.0;10.31;0.0;43.0409;-76.1438;407259.0;2212.0;10.31;10.31
33;Pittsburgh;Pennsylvania;0.0;10.02;17.0;40.4396;-79.9763;1715297.0;2108.0;27.02;10.02
34;Wichita Falls;Texas;0.0;9.29;0.0;33.9072;-98.529;99617.0;561.0;9.29;9.29
35;Philadelphia;Pennsylvania;0.0;9.22;26.2;40.0077;-75.1339;5637884.0;4547.0;35.42;9.22
36;Jersey City;New Jersey;0.0;8.17;47.6;40.7161;-74.0683;270753.0;7090.0;55.77;8.17
37;Newark;New Jersey;0.0;8.03;26.7;40.7245;-74.1725;285154.0;4560.0;34.73;8.03
38;Allentown;Pennsylvania;0.0;7.55;0.0;40.5961;-75.4755;682899.0;2668.0;7.55;7.55
39;Baltimore;Maryland;0.0;7.28;18.6;39.3051;-76.6144;2170504.0;2917.0;25.880000000000003;7.28
40;Worcester;Massachusetts;0.0;7.11;0.0;42.2705;-71.8079;498997.0;1918.0;7.11;7.11
41;Norfolk;Virginia;0.0;7.05;0.0;36.8945;-76.259;244703.0;1773.0;7.05;7.05
42;Honolulu;Hawaii;0.0;6.8;8.4;21.3294;-157.846;833671.0;2234.0;15.2;6.8
43;Erie;Pennsylvania;0.0;6.7;0.0;42.1168;-80.0733;188079.0;1964.0;6.7;6.7
44;Rochester;New York;0.0;6.65;8.8;43.168;-77.6162;711998.0;2245.0;15.450000000000001;6.65
45;Paterson;New Jersey;0.0;5.97;11.9;40.9147;-74.1624;148678.0;6823.0;17.87;5.97
46;Hartford;Connecticut;0.0;5.89;16.6;41.7661;-72.6834;914751.0;2741.0;22.490000000000002;5.89
47;Chicago;Illinois;0.0;5.8;27.6;41.8373;-87.6862;8675982.0;4612.0;33.4;5.8
48;Arlington;Virginia;0.0;5.77;0.0;38.8786;-77.1011;229534.0;3408.0;5.77;5.77
49;Cincinnati;Ohio;0.0;5.61;7.8;39.1412;-84.506;1648254.0;1493.0;13.41;5.61
50;St. Paul;Minnesota;0.0;5.58;8.5;44.9477;-93.104;306621.0;2277.0;14.08;5.58
51;Pasadena;California;0.0;5.51;0.0;34.1597;-118.139;142647.0;2398.0;5.51;5.51
52;Buffalo;New York;0.0;5.43;11.7;42.9017;-78.8487;926261.0;2472.0;17.13;5.43
53;Dayton;Ohio;0.0;5.37;0.0;39.7797;-84.1998;718169.0;978.0;5.37;5.37
54;New Orleans;Louisiana;0.0;5.35;7.8;30.0687;-89.9288;1029123.0;896.0;13.149999999999999;5.35
55;Augusta;Georgia;0.0;5.13;0.0;33.3645;-82.0708;389383.0;251.0;5.13;5.13
56;Salt Lake City;Utah;0.0;5.07;0.0;40.7774;-111.93;1098400.0;696.0;5.07;5.07
57;Irvine;California;0.0;5.06;0.0;33.6772;-117.7738;277453.0;1633.0;5.06;5.06
58;Elizabeth;New Jersey;0.0;5.0;11.3;40.6657;-74.1912;130215.0;4081.0;16.3;5.0
59;Paradise;Nevada;0.0;4.8;0.0;36.0807;-115.1369;231858.0;1915.0;4.8;4.8
60;Milwaukee;Wisconsin;0.0;4.79;8.6;43.0642;-87.9673;1377808.0;2389.0;13.39;4.79
61;Columbus;Georgia;0.0;4.78;0.0;32.51;-84.8771;259160.0;346.0;4.78;4.78
62;Lowell;Massachusetts;0.0;4.63;0.0;42.6389;-71.3217;111346.0;3159.0;4.63;4.63
63;East Los Angeles;California;0.0;4.61;10.9;34.0326;-118.1691;123905.0;6423.0;15.510000000000002;4.61
64;Richmond;Virginia;0.0;4.54;14.0;37.5295;-77.4756;1059907.0;1463.0;18.54;4.54
65;Arlington;Virginia;0.0;0.0;26.4;38.8786;-77.1011;229534.0;3408.0;26.4;0.0
66;Yonkers;New York;0.0;0.0;26.4;40.9466;-73.8674;202019.0;4330.0;26.4;0.0
67;Alexandria;Virginia;0.0;0.0;21.7;38.8185;-77.0861;160035.0;4137.0;21.7;0.0
68;Oakland;California;0.0;0.0;20.3;37.7903;-122.2165;425195.0;2937.0;20.3;0.0
69;Daly City;California;0.0;0.0;19.8;37.6863;-122.4684;107074.0;5410.0;19.8;0.0
70;Stamford;Connecticut;0.0;0.0;14.1;41.1035;-73.5583;130824.0;1342.0;14.1;0.0
71;Bellevue;Washington;0.0;0.0;11.8;47.5953;-122.155;144444.0;1666.0;11.8;0.0
72;Miami;Florida;0.0;0.0;11.4;25.7839;-80.2102;6381966.0;4969.0;11.4;0.0
73;Bridgeport;Connecticut;0.0;0.0;10.8;41.1918;-73.1953;938406.0;3523.0;10.8;0.0
74;Cleveland;Ohio;0.0;0.0;10.5;41.4767;-81.6805;1730363.0;1915.0;10.5;0.0
75;Los Angeles;California;0.0;0.0;10.6;34.1139;-118.4068;12815475.0;3295.0;10.6;0.0
76;Concord;California;0.0;0.0;10.0;37.9722;-122.0016;654770.0;1639.0;10.0;0.0
77;Atlanta;Georgia;0.0;0.0;9.8;33.7627;-84.4225;5228750.0;1384.0;9.8;0.0
78;Naperville;Illinois;0.0;0.0;9.7;41.7483;-88.1657;147682.0;1469.0;9.7;0.0
79;St. Louis;Missouri;0.0;0.0;9.4;38.6358;-90.2451;2078283.0;1929.0;9.4;0.0
80;Fremont;California;0.0;0.0;9.0;37.5265;-121.9852;234962.0;1171.0;9.0;0.0
81;San Juan;Puerto Rico;0.0;0.0;8.7;18.4037;-66.0636;341657.0;3336.0;8.7;0.0
82;Gresham;Oregon;0.0;0.0;8.2;45.5023;-122.4413;111053.0;1836.0;8.2;0.0
